sec_key,year,otter_density,SpCode,cpue
BAKE.19,2019,3.989592368,CRABDUN,0
BLAQ.19,2019,1.066552901,CRABDUN,0
CHUS.19,2019,5.971173644,CRABDUN,0
DUNB.19,2019,0.169539418,CRABDUN,0
FARA.19,2019,0.066889632,CRABDUN,0.5
GARC.19,2019,1.866404715,CRABDUN,0.5
GOAT.19,2019,0.363416111,CRABDUN,0
GUKT.19,2019,19.48162917,CRABDUN,0
HECA.19,2019,4.87804878,CRABDUN,0
KAGK.19,2019,26.8401487,CRABDUN,0
KLWA.19,2019,0.225580871,CRABDUN,0
NATZ.19,2019,0,CRABDUN,2
NAUK.19,2019,3.32047627,CRABDUN,0.5
NFEI.19,2019,0.750577367,CRABDUN,0
NOSK.19,2019,2.882742501,CRABDUN,0
NPAS.19,2019,0,CRABDUN,0
REFU.19,2019,0.099206349,CRABDUN,1.75
SALA.19,2019,5.894250217,CRABDUN,0
SFEI.19,2019,1.159479251,CRABDUN,0
SHIN.19,2019,6.467870643,CRABDUN,0
SODA.19,2019,2.589134126,CRABDUN,0
SWAD.19,2019,0.157109191,CRABDUN,0
BLAQ.20,2020,2.402196294,CRABDUN,0.333333333
CHUS.20,2020,10.96354903,CRABDUN,0
DUNB.20,2020,0.066889632,CRABDUN,0
FARA.20,2020,0.242277408,CRABDUN,0
GARC.20,2020,6.237721022,CRABDUN,0
GOAT.20,2020,0.056963828,CRABDUN,0
GUKT.20,2020,25.70356473,CRABDUN,0
HECA.20,2020,3.568773234,CRABDUN,0
KAGK.20,2020,10.4669524,CRABDUN,0
KLWA.20,2020,0,CRABDUN,0
NATZ.20,2020,0,CRABDUN,0
NAUK.20,2020,3.752886836,CRABDUN,0
NFEI.20,2020,0.529500756,CRABDUN,0.333333333
NOSK.20,2020,2.876984127,CRABDUN,0
NPAS.20,2020,0,CRABDUN,0
REFU.20,2020,0,CRABDUN,0
SALA.20,2020,2.813943721,CRABDUN,0
SFEI.20,2020,1.322525597,CRABDUN,0
SHIN.20,2020,2.847843775,CRABDUN,0
SODA.20,2020,2.854150301,CRABDUN,0
SWAD.20,2020,0.339558574,CRABDUN,0
BAKE.19,2019,3.989592368,CRABGRA,0
BLAQ.19,2019,1.066552901,CRABGRA,0.25
CHUS.19,2019,5.971173644,CRABGRA,0
DUNB.19,2019,0.169539418,CRABGRA,5.75
FARA.19,2019,0.066889632,CRABGRA,0.5
GARC.19,2019,1.866404715,CRABGRA,1
GOAT.19,2019,0.363416111,CRABGRA,2.5
GUKT.19,2019,19.48162917,CRABGRA,0.5
HECA.19,2019,4.87804878,CRABGRA,0
KAGK.19,2019,26.8401487,CRABGRA,6
KLWA.19,2019,0.225580871,CRABGRA,0
NATZ.19,2019,0,CRABGRA,16
NAUK.19,2019,3.32047627,CRABGRA,0.5
NFEI.19,2019,0.750577367,CRABGRA,0.5
NOSK.19,2019,2.882742501,CRABGRA,38.75
NPAS.19,2019,0,CRABGRA,29.25
REFU.19,2019,0.099206349,CRABGRA,2.25
SALA.19,2019,5.894250217,CRABGRA,2.5
SFEI.19,2019,1.159479251,CRABGRA,1.25
SHIN.19,2019,6.467870643,CRABGRA,8
SODA.19,2019,2.589134126,CRABGRA,1
SWAD.19,2019,0.157109191,CRABGRA,0
BLAQ.20,2020,2.402196294,CRABGRA,0
CHUS.20,2020,10.96354903,CRABGRA,1.333333333
DUNB.20,2020,0.066889632,CRABGRA,1
FARA.20,2020,0.242277408,CRABGRA,1
GARC.20,2020,6.237721022,CRABGRA,0
GOAT.20,2020,0.056963828,CRABGRA,2.333333333
GUKT.20,2020,25.70356473,CRABGRA,1
HECA.20,2020,3.568773234,CRABGRA,1.666666667
KAGK.20,2020,10.4669524,CRABGRA,0.666666667
KLWA.20,2020,0,CRABGRA,0
NATZ.20,2020,0,CRABGRA,0
NAUK.20,2020,3.752886836,CRABGRA,0.666666667
NFEI.20,2020,0.529500756,CRABGRA,0
NOSK.20,2020,2.876984127,CRABGRA,2.666666667
NPAS.20,2020,0,CRABGRA,0.666666667
REFU.20,2020,0,CRABGRA,0.666666667
SALA.20,2020,2.813943721,CRABGRA,2.666666667
SFEI.20,2020,1.322525597,CRABGRA,0.333333333
SHIN.20,2020,2.847843775,CRABGRA,2.333333333
SODA.20,2020,2.854150301,CRABGRA,3.666666667
SWAD.20,2020,0.339558574,CRABGRA,0
BLAQ.17,2017,2.96875,CRABRED,1
CHUS.17,2017,3.433333334,CRABRED,0
DUNB.17,2017,0.090909091,CRABRED,0.666666667
FARA.17,2017,0,CRABRED,2
GARC.17,2017,1.466666667,CRABRED,0.333333333
GOAT.17,2017,0,CRABRED,5.333333333
GUKT.17,2017,7.4,CRABRED,0
HETA.17,2017,0,CRABRED,1
KAGK.17,2017,6.0625,CRABRED,0
NATZ.17,2017,0,CRABRED,1.666666667
NAUK.17,2017,2.038461539,CRABRED,0
NFEI.17,2017,0.6875,CRABRED,7
NOSK.17,2017,6.142857143,CRABRED,0
NPAS.17,2017,0,CRABRED,2
REFU.17,2017,0.083333334,CRABRED,0.333333333
SALA.17,2017,7.05,CRABRED,0
SFEI.17,2017,1.053571429,CRABRED,0
SHIN.17,2017,3.692307692,CRABRED,0
SODA.17,2017,1.115384615,CRABRED,1.333333333
SWAD.17,2017,0.452380953,CRABRED,2.666666667
TROC.17,2017,0.041666667,CRABRED,0.666666667
GUKT.18,2018,10.68427371,CRABRED,0
KAGK.18,2018,10.67457376,CRABRED,0
NATZ.18,2018,0,CRABRED,4.25
NOSK.18,2018,3.436157751,CRABRED,0
NPAS.18,2018,0,CRABRED,3.75
SUKK.18,2018,0.036029544,CRABRED,3.5
BAKE.19,2019,3.989592368,CRABRED,0.5
BLAQ.19,2019,1.066552901,CRABRED,0.25
CHUS.19,2019,5.971173644,CRABRED,0
DUNB.19,2019,0.169539418,CRABRED,0
FARA.19,2019,0.066889632,CRABRED,3
GARC.19,2019,1.866404715,CRABRED,0
GOAT.19,2019,0.363416111,CRABRED,0
GUKT.19,2019,19.48162917,CRABRED,0
HECA.19,2019,4.87804878,CRABRED,0
KAGK.19,2019,26.8401487,CRABRED,0
KLWA.19,2019,0.225580871,CRABRED,3.5
NATZ.19,2019,0,CRABRED,4
NAUK.19,2019,3.32047627,CRABRED,0
NFEI.19,2019,0.750577367,CRABRED,1
NOSK.19,2019,2.882742501,CRABRED,0
NPAS.19,2019,0,CRABRED,8.25
REFU.19,2019,0.099206349,CRABRED,0
SALA.19,2019,5.894250217,CRABRED,0
SFEI.19,2019,1.159479251,CRABRED,0.25
SHIN.19,2019,6.467870643,CRABRED,0
SODA.19,2019,2.589134126,CRABRED,0
SWAD.19,2019,0.157109191,CRABRED,4.5
BLAQ.20,2020,2.402196294,CRABRED,0
CHUS.20,2020,10.96354903,CRABRED,0
DUNB.20,2020,0.066889632,CRABRED,0
FARA.20,2020,0.242277408,CRABRED,0
GARC.20,2020,6.237721022,CRABRED,0
GOAT.20,2020,0.056963828,CRABRED,0.666666667
GUKT.20,2020,25.70356473,CRABRED,0
HECA.20,2020,3.568773234,CRABRED,0
KAGK.20,2020,10.4669524,CRABRED,0
KLWA.20,2020,0,CRABRED,2.666666667
NATZ.20,2020,0,CRABRED,2.666666667
NAUK.20,2020,3.752886836,CRABRED,0
NFEI.20,2020,0.529500756,CRABRED,0.333333333
NOSK.20,2020,2.876984127,CRABRED,0
NPAS.20,2020,0,CRABRED,0.666666667
REFU.20,2020,0,CRABRED,0
SALA.20,2020,2.813943721,CRABRED,0
SFEI.20,2020,1.322525597,CRABRED,0
SHIN.20,2020,2.847843775,CRABRED,0
SODA.20,2020,2.854150301,CRABRED,0.333333333
SWAD.20,2020,0.339558574,CRABRED,3
BLAQ.17,2017,2.96875,CRABHEL,0.333333333
CHUS.17,2017,3.433333334,CRABHEL,0
DUNB.17,2017,0.090909091,CRABHEL,0
FARA.17,2017,0,CRABHEL,0
GARC.17,2017,1.466666667,CRABHEL,0
GOAT.17,2017,0,CRABHEL,0.333333333
GUKT.17,2017,7.4,CRABHEL,0.333333333
HETA.17,2017,0,CRABHEL,0
KAGK.17,2017,6.0625,CRABHEL,0.333333333
NATZ.17,2017,0,CRABHEL,0
NAUK.17,2017,2.038461539,CRABHEL,0
NFEI.17,2017,0.6875,CRABHEL,0.333333333
NOSK.17,2017,6.142857143,CRABHEL,1
NPAS.17,2017,0,CRABHEL,0.333333333
REFU.17,2017,0.083333334,CRABHEL,0.333333333
SALA.17,2017,7.05,CRABHEL,4.333333333
SFEI.17,2017,1.053571429,CRABHEL,0
SHIN.17,2017,3.692307692,CRABHEL,0.333333333
SODA.17,2017,1.115384615,CRABHEL,0
SWAD.17,2017,0.452380953,CRABHEL,0.666666667
TROC.17,2017,0.041666667,CRABHEL,0
GUKT.18,2018,10.68427371,CRABHEL,1.25
KAGK.18,2018,10.67457376,CRABHEL,2.75
NATZ.18,2018,0,CRABHEL,0
NOSK.18,2018,3.436157751,CRABHEL,0
NPAS.18,2018,0,CRABHEL,0
SUKK.18,2018,0.036029544,CRABHEL,0
BAKE.19,2019,3.989592368,CRABHEL,0
BLAQ.19,2019,1.066552901,CRABHEL,0.25
CHUS.19,2019,5.971173644,CRABHEL,0
DUNB.19,2019,0.169539418,CRABHEL,0
FARA.19,2019,0.066889632,CRABHEL,0.25
GARC.19,2019,1.866404715,CRABHEL,0.25
GOAT.19,2019,0.363416111,CRABHEL,0
GUKT.19,2019,19.48162917,CRABHEL,1
HECA.19,2019,4.87804878,CRABHEL,1
KAGK.19,2019,26.8401487,CRABHEL,2.25
KLWA.19,2019,0.225580871,CRABHEL,0
NATZ.19,2019,0,CRABHEL,0
NAUK.19,2019,3.32047627,CRABHEL,0
NFEI.19,2019,0.750577367,CRABHEL,0
NOSK.19,2019,2.882742501,CRABHEL,0
NPAS.19,2019,0,CRABHEL,0
REFU.19,2019,0.099206349,CRABHEL,0
SALA.19,2019,5.894250217,CRABHEL,2
SFEI.19,2019,1.159479251,CRABHEL,0
SHIN.19,2019,6.467870643,CRABHEL,0
SODA.19,2019,2.589134126,CRABHEL,0
SWAD.19,2019,0.157109191,CRABHEL,0
BLAQ.20,2020,2.402196294,CRABHEL,0.666666667
CHUS.20,2020,10.96354903,CRABHEL,0.333333333
DUNB.20,2020,0.066889632,CRABHEL,1
FARA.20,2020,0.242277408,CRABHEL,0.333333333
GARC.20,2020,6.237721022,CRABHEL,0.333333333
GOAT.20,2020,0.056963828,CRABHEL,0
GUKT.20,2020,25.70356473,CRABHEL,0
HECA.20,2020,3.568773234,CRABHEL,0.333333333
KAGK.20,2020,10.4669524,CRABHEL,1
KLWA.20,2020,0,CRABHEL,0
NATZ.20,2020,0,CRABHEL,0.333333333
NAUK.20,2020,3.752886836,CRABHEL,0
NFEI.20,2020,0.529500756,CRABHEL,0.333333333
NOSK.20,2020,2.876984127,CRABHEL,1
NPAS.20,2020,0,CRABHEL,0
REFU.20,2020,0,CRABHEL,0
SALA.20,2020,2.813943721,CRABHEL,0
SFEI.20,2020,1.322525597,CRABHEL,0
SHIN.20,2020,2.847843775,CRABHEL,0
SODA.20,2020,2.854150301,CRABHEL,0
SWAD.20,2020,0.339558574,CRABHEL,0
