year,bay_code,bay_sample,date_set,YYYYMMDD_set,time_set,date_pulled,YYYYMMDD_pulled,time_pulled,time_soak_hr,trap,string,Sp_CommonName,Sp_ScientificName,SpCode,Taxa,carapace_width_mm,sex,fork_length_mm,unmeasured,pri.key,sec_key
2020,DUNB,A,7/13/2020,20200713,1110,7/14/2020,20200714,1205,24.916,minnow,2,Helmet Crab,Telmessus cheiragonus,CRABHEL,invertebrate,69,F,NA,NA,CRABHEL.20,DUNB.20
2020,DUNB,A,7/13/2020,20200713,1110,7/14/2020,20200714,1205,24.916,minnow,2,Helmet Crab,Telmessus cheiragonus,CRABHEL,invertebrate,81,M,NA,NA,CRABHEL.20,DUNB.20
2020,DUNB,A,7/13/2020,20200713,1110,7/14/2020,20200714,1205,24.916,minnow,2,Helmet Crab,Telmessus cheiragonus,CRABHEL,invertebrate,69,M,NA,NA,CRABHEL.20,DUNB.20
2020,DUNB,A,7/13/2020,20200713,1110,7/14/2020,20200714,1205,24.916,minnow,3,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,59,F,NA,NA,CRABGRA.20,DUNB.20
2020,DUNB,A,7/13/2020,20200713,1110,7/14/2020,20200714,1205,24.916,minnow,3,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,60,F,NA,NA,CRABGRA.20,DUNB.20
2020,DUNB,A,7/13/2020,20200713,1110,7/14/2020,20200714,1205,24.916,minnow,3,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,69,M,NA,NA,CRABGRA.20,DUNB.20
2020,GOATS,A,7/13/2020,20200713,1220,7/14/2020,20200714,1345,25.416,minnow,1,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,46,F,NA,NA,CRABGRA.20,GOATS.20
2020,GOATS,A,7/13/2020,20200713,1220,7/14/2020,20200714,1345,25.416,minnow,1,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,47,F,NA,NA,CRABGRA.20,GOATS.20
2020,GOATS,A,7/13/2020,20200713,1220,7/14/2020,20200714,1345,25.416,minnow,2,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,234,NA,SCULPSTG.20,GOATS.20
2020,GOATS,A,7/13/2020,20200713,1220,7/14/2020,20200714,1345,25.416,minnow,2,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,72,M,NA,NA,CRABGRA.20,GOATS.20
2020,GOATS,A,7/13/2020,20200713,1220,7/14/2020,20200714,1345,25.416,minnow,2,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,235,NA,SCULPSTG.20,GOATS.20
2020,GOATS,A,7/13/2020,20200713,1220,7/14/2020,20200714,1345,25.416,minnow,2,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,65,M,NA,NA,CRABGRA.20,GOATS.20
2020,GOATS,A,7/13/2020,20200713,1220,7/14/2020,20200714,1345,25.416,minnow,2,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,80,M,NA,NA,CRABGRA.20,GOATS.20
2020,GOATS,A,7/13/2020,20200713,1220,7/14/2020,20200714,1345,25.416,minnow,2,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,252,NA,SCULPSTG.20,GOATS.20
2020,GOATS,A,7/13/2020,20200713,1220,7/14/2020,20200714,1345,25.416,minnow,2,Red Rock Crab,Cancer productus,CRABRR,invertebrate,60,M,NA,NA,CRABRR.20,GOATS.20
2020,GOATS,A,7/13/2020,20200713,1220,7/14/2020,20200714,1345,25.416,minnow,2,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,242,NA,SCULPSTG.20,GOATS.20
2020,GOATS,A,7/13/2020,20200713,1220,7/14/2020,20200714,1345,25.416,minnow,2,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,79,M,NA,NA,CRABGRA.20,GOATS.20
2020,GOATS,A,7/13/2020,20200713,1220,7/14/2020,20200714,1345,25.416,minnow,2,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,75,M,NA,NA,CRABGRA.20,GOATS.20
2020,GOATS,A,7/13/2020,20200713,1220,7/14/2020,20200714,1345,25.416,minnow,3,Red Rock Crab,Cancer productus,CRABRR,invertebrate,68,M,NA,NA,CRABRR.20,GOATS.20
2020,NATZ,A,7/13/2020,20200713,1400,7/14/2020,20200714,1435,24.583,minnow,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,143,M,NA,NA,CRABRR.20,NATZ.20
2020,NATZ,A,7/13/2020,20200713,1400,7/14/2020,20200714,1435,24.583,minnow,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,137,M,NA,NA,CRABRR.20,NATZ.20
2020,NATZ,A,7/13/2020,20200713,1400,7/14/2020,20200714,1435,24.583,minnow,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,158,M,NA,NA,CRABRR.20,NATZ.20
2020,NATZ,A,7/13/2020,20200713,1400,7/14/2020,20200714,1435,24.583,minnow,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,114,M,NA,NA,CRABRR.20,NATZ.20
2020,NATZ,A,7/13/2020,20200713,1400,7/14/2020,20200714,1435,24.583,minnow,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,170,M,NA,NA,CRABRR.20,NATZ.20
2020,NATZ,A,7/13/2020,20200713,1400,7/14/2020,20200714,1435,24.583,minnow,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,99,F,NA,NA,CRABRR.20,NATZ.20
2020,NATZ,A,7/13/2020,20200713,1400,7/14/2020,20200714,1435,24.583,minnow,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,117,M,NA,NA,CRABRR.20,NATZ.20
2020,NATZ,A,7/13/2020,20200713,1400,7/14/2020,20200714,1435,24.583,minnow,2,Red Rock Crab,Cancer productus,CRABRR,invertebrate,141,M,NA,NA,CRABRR.20,NATZ.20
2020,NATZ,A,7/13/2020,20200713,1400,7/14/2020,20200714,1435,24.583,minnow,3,Helmet Crab,Telmessus cheiragonus,CRABHEL,invertebrate,14,M,NA,NA,CRABHEL.20,NATZ.20
2020,SHIN,A,7/27/2020,20200727,955,7/28/2020,2020728,810,22.25,minnow,1,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,68,M,NA,NA,CRABGRA.20,SHIN.20
2020,SHIN,A,7/27/2020,20200727,955,7/28/2020,2020728,810,22.25,minnow,2,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,77,M,NA,NA,CRABGRA.20,SHIN.20
2020,SHIN,A,7/27/2020,20200727,955,7/28/2020,2020728,810,22.25,minnow,2,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,55,F,NA,NA,CRABGRA.20,SHIN.20
2020,SHIN,A,7/27/2020,20200727,955,7/28/2020,2020728,810,22.25,minnow,2,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,71,M,NA,NA,CRABGRA.20,SHIN.20
2020,SHIN,A,7/27/2020,20200727,955,7/28/2020,2020728,810,22.25,minnow,3,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,57,M,NA,NA,CRABGRA.20,SHIN.20
2020,SHIN,A,7/27/2020,20200727,955,7/28/2020,2020728,810,22.25,minnow,3,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,61,F,NA,NA,CRABGRA.20,SHIN.20
2020,SHIN,A,7/27/2020,20200727,955,7/28/2020,2020728,810,22.25,minnow,3,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,52,F,NA,NA,CRABGRA.20,SHIN.20
2020,SHIN,A,7/27/2020,20200727,955,7/28/2020,2020728,810,22.25,minnow,3,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,219,NA,SCULPSTG.20,SHIN.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,1,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,125,NA,SCULPSTG.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,1,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,265,NA,SCULPSTG.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,1,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,275,NA,SCULPSTG.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,1,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,292,NA,SCULPSTG.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,1,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,134,NA,SCULPSTG.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,1,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,283,NA,SCULPSTG.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,104,F,NA,NA,CRABRR.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,3,Red Rock Crab,Cancer productus,CRABRR,invertebrate,144,NA,NA,NA,CRABRR.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,3,Red Rock Crab,Cancer productus,CRABRR,invertebrate,139,M,NA,NA,CRABRR.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,3,Red Rock Crab,Cancer productus,CRABRR,invertebrate,127,F,NA,NA,CRABRR.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,3,Red Rock Crab,Cancer productus,CRABRR,invertebrate,128,M,NA,NA,CRABRR.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,3,Red Rock Crab,Cancer productus,CRABRR,invertebrate,126,M,NA,NA,CRABRR.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,3,Red Rock Crab,Cancer productus,CRABRR,invertebrate,97,M,NA,NA,CRABRR.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,3,Red Rock Crab,Cancer productus,CRABRR,invertebrate,89,M,NA,NA,CRABRR.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,3,Red Rock Crab,Cancer productus,CRABRR,invertebrate,93,M,NA,NA,CRABRR.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,3,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,311,NA,SCULPSTG.20,SWAD.20
2020,SWAD,A,7/27/2020,20200727,1235,7/28/2020,2020728,850,20.25,minnow,3,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,270,NA,SCULPSTG.20,SWAD.20
2020,KLWK,A,7/27/2020,20200727,810,7/28/2020,2020728,720,23.166,pot,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,159,M,NA,NA,CRABRR.20,KLWK.20
2020,KLWK,A,7/27/2020,20200727,810,7/28/2020,2020728,720,23.166,minnow,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,100,F,NA,NA,CRABRR.20,KLWK.20
2020,KLWK,A,7/27/2020,20200727,810,7/28/2020,2020728,720,23.166,minnow,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,150,M,NA,NA,CRABRR.20,KLWK.20
2020,KLWK,A,7/27/2020,20200727,810,7/28/2020,2020728,720,23.166,minnow,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,123,M,NA,NA,CRABRR.20,KLWK.20
2020,KLWK,A,7/27/2020,20200727,810,7/28/2020,2020728,720,23.166,minnow,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,130,M,NA,NA,CRABRR.20,KLWK.20
2020,KLWK,A,7/27/2020,20200727,810,7/28/2020,2020728,720,23.166,minnow,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,128,M,NA,NA,CRABRR.20,KLWK.20
2020,KLWK,A,7/27/2020,20200727,810,7/28/2020,2020728,720,23.166,minnow,1,Red Rock Crab,Cancer productus,CRABRR,invertebrate,125,M,NA,NA,CRABRR.20,KLWK.20
2020,KLWK,A,7/27/2020,20200727,810,7/28/2020,2020728,720,23.166,minnow,1,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,246,NA,SCULPSTG.20,KLWK.20
2020,KLWK,A,7/27/2020,20200727,810,7/28/2020,2020728,720,23.166,minnow,1,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,270,NA,SCULPSTG.20,KLWK.20
2020,KLWK,A,7/27/2020,20200727,810,7/28/2020,2020728,720,23.166,minnow,2,Red Rock Crab,Cancer productus,CRABRR,invertebrate,132,M,NA,NA,CRABRR.20,KLWK.20
2020,KLWK,A,7/27/2020,20200727,810,7/28/2020,2020728,720,23.166,minnow,2,Red Rock Crab,Cancer productus,CRABRR,invertebrate,171,M,NA,NA,CRABRR.20,KLWK.20
2020,KLWK,A,7/27/2020,20200727,810,7/28/2020,2020728,720,23.166,minnow,3,Decorator Crab,Oregonia gracilis,CRABDEC,invertebrate,18,M,NA,NA,CRABDEC.20,KLWK.20
2020,NPASS,A,7/28/2020,20200728,1150,7/29/2020,20200729,1105,23.166,minnow,1,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,196,NA,SCULPSTG.20,NPASS.20
2020,NPASS,A,7/28/2020,20200728,1150,7/29/2020,20200729,1105,23.166,minnow,2,Red Rock Crab,Cancer productus,CRABRR,invertebrate,111,F,NA,NA,CRABRR.20,NPASS.20
2020,NPASS,A,7/28/2020,20200728,1150,7/29/2020,20200729,1105,23.166,minnow,3,Red Rock Crab,Cancer productus,CRABRR,invertebrate,173,NA,NA,NA,CRABRR.20,NPASS.20
2020,NPASS,A,7/28/2020,20200728,1150,7/29/2020,20200729,1105,23.166,minnow,3,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,225,NA,SCULPSTG.20,NPASS.20
2020,NPASS,A,7/28/2020,20200728,1150,7/29/2020,20200729,1105,23.166,minnow,3,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,172,NA,SCULPSTG.20,NPASS.20
2020,NPASS,A,7/28/2020,20200728,1150,7/29/2020,20200729,1105,23.166,minnow,3,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,133,NA,SCULPSTG.20,NPASS.20
2020,NPASS,A,7/28/2020,20200728,1150,7/29/2020,20200729,1105,23.166,minnow,3,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,198,NA,SCULPSTG.20,NPASS.20
2020,NPASS,A,7/28/2020,20200728,1150,7/29/2020,20200729,1105,23.166,minnow,3,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,196,NA,SCULPSTG.20,NPASS.20
2020,NPASS,A,7/28/2020,20200728,1150,7/29/2020,20200729,1105,23.166,minnow,3,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,82,M,NA,NA,CRABGRA.20,NPASS.20
2020,NPASS,A,7/28/2020,20200728,1150,7/29/2020,20200729,1105,23.166,minnow,3,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,82,M,NA,NA,CRABGRA.20,NPASS.20
2020,SODA,A,7/28/2020,20200728,1620,7/29/2020,20200729,1650,24.5,minnow,1,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,69,M,NA,NA,CRABGRA.20,SODA.20
2020,SODA,A,7/28/2020,20200728,1620,7/29/2020,20200729,1650,24.5,minnow,1,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,64,F,NA,NA,CRABGRA.20,SODA.20
2020,SODA,A,7/28/2020,20200728,1620,7/29/2020,20200729,1650,24.5,minnow,2,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,68,M,NA,NA,CRABGRA.20,SODA.20
2020,SODA,A,7/28/2020,20200728,1620,7/29/2020,20200729,1650,24.5,minnow,2,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,241,NA,SCULPSTG.20,SODA.20
2020,SODA,A,7/28/2020,20200728,1620,7/29/2020,20200729,1650,24.5,minnow,2,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,249,NA,SCULPSTG.20,SODA.20
2020,SODA,A,7/28/2020,20200728,1620,7/29/2020,20200729,1650,24.5,minnow,2,Staghorn Sculpin,Leptocottus armatus,SCULPSTG,fish,NA,NA,283,NA,SCULPSTG.20,SODA.20
2020,SODA,A,7/28/2020,20200728,1620,7/29/2020,20200729,1650,24.5,minnow,2,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,76,M,NA,NA,CRABGRA.20,SODA.20
2020,SODA,A,7/28/2020,20200728,1620,7/29/2020,20200729,1650,24.5,minnow,2,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,67,M,NA,NA,CRABGRA.20,SODA.20
2020,SODA,A,7/28/2020,20200728,1620,7/29/2020,20200729,1650,24.5,minnow,2,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,43,F,NA,NA,CRABGRA.20,SODA.20
2020,SODA,A,7/28/2020,20200728,1620,7/29/2020,20200729,1650,24.5,minnow,3,Slender Rock Crab,Metacarcinus gracilis,CRABGRA,invertebrate,80,M,NA,NA,CRABGRA.20,SODA.20
